STATION,YEAR,MONTH,WEEK,DAY,TMAX,TMIN
USW00094728,2014,5,19,7,20.6,10.0
USW00014732,2018,9,37,11,23.9,17.8
USW00094728,2016,6,24,18,30.6,16.1
USW00094728,2014,8,34,22,26.1,18.3
USW00014732,2013,10,40,1,27.2,16.7
USW00094789,2016,4,13,3,9.4,2.2
USW00094789,2018,8,33,14,27.8,21.1
USW00094728,2017,3,13,30,11.1,3.3
USW00014732,2016,5,21,23,25.0,13.3
USW00094728,2018,7,29,18,29.4,18.9
USW00094789,2014,6,23,6,26.1,17.2
USW00094789,2018,10,41,10,25.0,18.9
USW00014732,2014,12,52,25,17.2,7.2
USW00094728,2014,8,35,26,31.7,21.1
USW00094728,2018,2,9,28,16.1,5.6
USW00094728,2018,11,45,8,13.3,7.2
USW00094789,2015,9,38,17,28.9,17.8
USW00094789,2018,4,14,4,13.9,4.4
USW00014732,2016,1,4,31,13.3,2.8
USW00094789,2017,1,4,28,4.4,1.1
USW00094728,2015,9,36,4,29.4,22.2
USW00014732,2015,8,35,27,26.7,20.0
USW00094789,2018,10,40,6,20.6,17.2
USW00094789,2013,12,51,16,1.7,-3.8
USW00014732,2015,10,42,12,24.4,13.3
USW00014732,2014,5,19,5,19.4,10.0
USW00094789,2018,3,13,29,9.4,6.7
USW00014732,2018,5,22,29,30.6,17.2
USW00014732,2017,11,47,23,7.2,1.1
USW00014732,2017,7,30,27,25.6,19.4
USW00094728,2018,6,25,21,28.3,18.3
USW00094789,2015,11,48,29,10.0,3.3
USW00094789,2017,9,38,23,31.1,20.0
USW00014732,2018,6,26,26,25.0,17.8
USW00094789,2017,7,27,5,28.3,20.6
USW00094728,2014,12,51,15,8.9,2.8
USW00094728,2013,9,37,13,25.0,15.0
USW00014732,2017,10,43,28,20.0,12.2
USW00014732,2016,12,50,17,4.4,-3.2
USW00094728,2017,3,10,7,13.3,5.6
USW00094728,2015,8,35,30,32.2,22.2
USW00014732,2016,2,9,29,16.1,5.6
USW00014732,2017,4,15,15,17.2,11.1
USW00094728,2017,4,17,27,21.1,13.9
USW00014732,2014,4,14,3,17.8,5.6
USW00094789,2018,6,24,14,29.4,20.0
USW00014732,2018,6,26,26,25.0,17.8
USW00094728,2015,1,2,7,-4.9,-12.7
USW00094789,2017,6,23,9,28.9,10.6
USW00014732,2016,7,30,31,28.3,22.2
USW00014732,2014,5,21,23,20.0,13.9
USW00094789,2014,2,9,28,-3.2,-11.6
USW00014732,2013,8,33,18,24.4,20.6
USW00014732,2017,9,37,17,27.2,20.6
USW00094789,2017,11,44,5,16.1,10.6
USW00094728,2015,4,15,7,16.7,5.6
USW00094728,2015,11,48,28,17.8,7.2
USW00094789,2017,4,17,25,15.0,10.6
USW00014732,2014,10,40,4,21.7,11.1
